timestamp,employee_id,system_accessed,action,bytes_transferred,name,department,role,shift_start_hour,shift_end_hour,risk_tier,hour_of_day,flagged_threat
2024-01-01 09:57:00,EMP-0026,Financial_Ledger,View,89575,Steve Taylor,Finance,Financial Analyst,9,17,Elevated,9,None
2024-01-01 10:04:00,EMP-0107,Customer_CRM,View,102119,David Baldwin,Finance,Payroll Manager,9,17,Elevated,10,None
2024-01-01 10:13:00,EMP-0019,Inventory_DB,View,63670,Sergio Vazquez,Warehouse,Forklift Operator,8,20,Standard,10,None
2024-01-01 10:17:00,EMP-0029,Routing_Portal,Download,16513327,Anthony Ramirez,Ground Operations,Dispatcher,6,18,Standard,10,None
2024-01-01 10:28:00,EMP-0073,Financial_Ledger,Download,23468614,Brittany Castaneda,Finance,Payroll Manager,9,17,Elevated,10,None
2024-01-01 10:43:00,EMP-0119,Routing_Portal,Query,15878,Scott Flores,IT,System Admin,9,17,Elevated,10,None
2024-01-01 10:50:00,EMP-0041,Inventory_DB,Query,26817,Jacob West,Ground Operations,Dispatcher,6,18,Standard,10,None
2024-01-01 11:03:00,EMP-0072,Customer_CRM,Query,47303,Nathaniel Price,Warehouse,Forklift Operator,8,20,Standard,11,None
2024-01-01 11:10:00,EMP-0015,Financial_Ledger,View,57810,Andrew White,Finance,Financial Analyst,9,17,Elevated,11,None
2024-01-01 11:20:00,EMP-0012,Routing_Portal,View,53338,Abigail Marshall,IT,Helpdesk,9,17,Elevated,11,None
2024-01-01 11:29:00,EMP-0022,Routing_Portal,View,53690,Sara Wilson,IT,System Admin,9,17,Elevated,11,None
2024-01-01 11:37:00,EMP-0135,Routing_Portal,Query,66154,Christina Melton,Ground Operations,Driver,6,18,Standard,11,None
2024-01-01 11:51:00,EMP-0026,Financial_Ledger,View,51459,Steve Taylor,Finance,Financial Analyst,9,17,Elevated,11,None
2024-01-01 12:00:00,EMP-0041,Inventory_DB,View,62775,Jacob West,Ground Operations,Dispatcher,6,18,Standard,12,None
2024-01-01 12:09:00,EMP-0032,Financial_Ledger,View,56592,Dr. Emma Davis,IT,Helpdesk,9,17,Elevated,12,None
2024-01-01 12:14:00,EMP-0058,Customer_CRM,Query,40057,David Robinson,Warehouse,Forklift Operator,8,20,Standard,12,None
2024-01-01 12:25:00,EMP-0002,Routing_Portal,View,34918,Julie Alvarado,IT,System Admin,9,17,Elevated,12,None
2024-01-01 12:34:00,EMP-0022,Routing_Portal,Query,31131,Sara Wilson,IT,System Admin,9,17,Elevated,12,None
2024-01-01 12:46:00,EMP-0064,HR_Portal,View,59695,Cristina Watkins,IT,System Admin,9,17,Elevated,12,None
2024-01-01 13:01:00,EMP-0093,Inventory_DB,View,47664,Kelli Freeman,Ground Operations,Driver,6,18,Standard,13,None
2024-01-01 13:03:00,EMP-0114,Customer_CRM,Query,88035,Ricky Jackson,Warehouse,Forklift Operator,8,20,Standard,13,None
2024-01-01 13:17:00,EMP-0003,Inventory_DB,View,54762,Daniel Roberts,Warehouse,Inventory Specialist,8,20,Standard,13,None
2024-01-01 13:21:00,EMP-0102,Routing_Portal,Query,89933,Carmen Jones,Ground Operations,Driver,6,18,Standard,13,None
2024-01-01 13:33:00,EMP-0016,Inventory_DB,View,30134,Chris Cohen,Ground Operations,Hub Manager,6,18,Standard,13,None
2024-01-01 13:42:00,EMP-0112,Routing_Portal,View,53935,Charles Porter,Warehouse,Inventory Specialist,8,20,Standard,13,None
2024-01-01 13:51:00,EMP-0085,Financial_Ledger,Query,27267,Michael Davis,Finance,Financial Analyst,9,17,Elevated,13,None
2024-01-01 14:02:00,EMP-0061,Inventory_DB,Query,50007,Mary Mccullough,Ground Operations,Dispatcher,6,18,Standard,14,None
2024-01-01 14:10:00,EMP-0065,Routing_Portal,Query,70519,Felicia Galvan,Warehouse,Inventory Specialist,8,20,Standard,14,None
2024-01-01 14:15:00,EMP-0010,Inventory_DB,View,46868,Sonya Foster,Warehouse,Forklift Operator,8,20,Standard,14,None
2024-01-01 14:25:00,EMP-0075,Inventory_DB,View,49368,Andrew Torres,Warehouse,Forklift Operator,8,20,Standard,14,None
2024-01-01 14:31:00,EMP-0065,Inventory_DB,View,62996,Felicia Galvan,Warehouse,Inventory Specialist,8,20,Standard,14,None
2024-01-01 14:43:00,EMP-0087,Customer_CRM,View,93096,Travis Williams,Ground Operations,Hub Manager,6,18,Standard,14,None
2024-01-01 14:48:00,EMP-0027,Routing_Portal,Query,37794,Stacey Morgan,Ground Operations,Driver,6,18,Standard,14,None
2024-01-01 14:59:00,EMP-0129,Customer_CRM,View,34893,Alexandra Thompson,IT,Helpdesk,9,17,Elevated,14,None
2024-01-01 15:13:00,EMP-0135,Customer_CRM,Query,43071,Christina Melton,Ground Operations,Driver,6,18,Standard,15,None
2024-01-01 15:18:00,EMP-0109,Inventory_DB,Download,15735133,Sherry Whitney,Ground Operations,Driver,6,18,Standard,15,None
2024-01-01 15:33:00,EMP-0046,Routing_Portal,View,40411,Jesse Phillips,Ground Operations,Dispatcher,6,18,Standard,15,None
2024-01-01 15:47:00,EMP-0138,Routing_Portal,Export,17793847,Peter Reid II,Warehouse,Forklift Operator,8,20,Standard,15,None
2024-01-01 15:53:00,EMP-0138,Inventory_DB,View,70496,Peter Reid II,Warehouse,Forklift Operator,8,20,Standard,15,None
2024-01-01 15:57:00,EMP-0147,Routing_Portal,View,31482,Stacey Thomas,Ground Operations,Dispatcher,6,18,Standard,15,None
2024-01-01 16:06:00,EMP-0021,Inventory_DB,View,87257,Gregory Shah,IT,System Admin,9,17,Elevated,16,None
2024-01-01 16:20:00,EMP-0068,HR_Portal,View,27323,Michelle Holder,Finance,Financial Analyst,9,17,Elevated,16,None
2024-01-01 16:25:00,EMP-0126,Financial_Ledger,View,62209,Danielle Griffin,Finance,Financial Analyst,9,17,Elevated,16,None
2024-01-01 16:30:00,EMP-0071,HR_Portal,Query,57720,Victoria Phillips,Finance,Financial Analyst,9,17,Elevated,16,None
2024-01-01 16:42:00,EMP-0088,HR_Portal,View,91680,Aaron Martinez,Finance,Financial Analyst,9,17,Elevated,16,None
2024-01-01 16:51:00,EMP-0030,Customer_CRM,Query,42469,Ann Pineda,IT,Helpdesk,9,17,Elevated,16,None
2024-01-01 17:01:00,EMP-0120,Inventory_DB,View,54606,Lauren Bell,Warehouse,Forklift Operator,8,20,Standard,17,None
2024-01-01 17:10:00,EMP-0082,Inventory_DB,Export,18406046,Maria Fleming,Ground Operations,Driver,6,18,Standard,17,None
2024-01-01 17:21:00,EMP-0126,Financial_Ledger,View,70702,Danielle Griffin,Finance,Financial Analyst,9,17,Elevated,17,None
2024-01-01 17:33:00,EMP-0032,HR_Portal,Query,49376,Dr. Emma Davis,IT,Helpdesk,9,17,Elevated,17,None
2024-01-01 17:43:00,EMP-0144,Routing_Portal,View,88798,Donald Robinson,Warehouse,Inventory Specialist,8,20,Standard,17,None
2024-01-01 17:57:00,EMP-0133,Financial_Ledger,View,29896,Samantha Patton,Finance,Payroll Manager,9,17,Elevated,17,None
2024-01-01 18:02:00,EMP-0096,Routing_Portal,View,35164,Michael Mitchell,Ground Operations,Dispatcher,6,18,Standard,18,None
2024-01-01 18:17:00,EMP-0117,Routing_Portal,View,53742,David Tanner,Warehouse,Forklift Operator,8,20,Standard,18,None
2024-01-01 18:49:00,EMP-0094,Inventory_DB,Download,11335774,Jennifer Trevino,Ground Operations,Dispatcher,6,18,Standard,18,None
2024-01-01 19:08:00,EMP-0132,Inventory_DB,View,22341,Christine Jacobson,Warehouse,Inventory Specialist,8,20,Standard,19,None
2024-01-01 19:35:00,EMP-0030,Inventory_DB,View,79649,Ann Pineda,IT,Helpdesk,9,17,Elevated,19,None
2024-01-01 20:04:00,EMP-0066,Inventory_DB,Download,19807290,Laura Castillo,Warehouse,Inventory Specialist,8,20,Standard,20,None
2024-01-01 20:44:00,EMP-0104,Routing_Portal,Query,7175,Katrina Rubio,Warehouse,Inventory Specialist,8,20,Standard,20,None
2024-01-01 22:35:00,EMP-0021,Customer_CRM,Query,69851,Gregory Shah,IT,System Admin,9,17,Elevated,22,None
2024-01-01 22:54:00,EMP-0072,Inventory_DB,Query,73844,Nathaniel Price,Warehouse,Forklift Operator,8,20,Standard,22,None
2024-01-02 04:08:00,EMP-0116,Financial_Ledger,View,29064,Adrienne Morris,Finance,Payroll Manager,9,17,Elevated,4,None
2024-01-02 06:16:00,EMP-0029,Routing_Portal,View,75855,Anthony Ramirez,Ground Operations,Dispatcher,6,18,Standard,6,None
2024-01-02 07:12:00,EMP-0136,Inventory_DB,View,20649,Melissa Webb,Ground Operations,Dispatcher,6,18,Standard,7,None
2024-01-02 08:31:00,EMP-0065,Routing_Portal,Query,40118,Felicia Galvan,Warehouse,Inventory Specialist,8,20,Standard,8,None
2024-01-02 08:48:00,EMP-0144,Inventory_DB,View,46749,Donald Robinson,Warehouse,Inventory Specialist,8,20,Standard,8,None
2024-01-02 09:04:00,EMP-0129,Customer_CRM,View,59716,Alexandra Thompson,IT,Helpdesk,9,17,Elevated,9,None
2024-01-02 09:17:00,EMP-0115,Inventory_DB,Query,57849,Angela King,Ground Operations,Dispatcher,6,18,Standard,9,None
2024-01-02 09:21:00,EMP-0003,Inventory_DB,Query,54429,Daniel Roberts,Warehouse,Inventory Specialist,8,20,Standard,9,None
2024-01-02 09:27:00,EMP-0128,Financial_Ledger,Download,10724019,Michael Salas,Finance,Payroll Manager,9,17,Elevated,9,None
2024-01-02 09:35:00,EMP-0133,HR_Portal,Query,80839,Samantha Patton,Finance,Payroll Manager,9,17,Elevated,9,None
2024-01-02 09:44:00,EMP-0063,Financial_Ledger,Query,63326,Michelle Sellers,Finance,Payroll Manager,9,17,Elevated,9,None
2024-01-02 09:52:00,EMP-0123,Routing_Portal,Query,39235,Vanessa Moore,Ground Operations,Dispatcher,6,18,Standard,9,None
2024-01-02 09:59:00,EMP-0136,Inventory_DB,Download,12157093,Melissa Webb,Ground Operations,Dispatcher,6,18,Standard,9,None
2024-01-02 10:02:00,EMP-0111,Financial_Ledger,View,78146,Justin Serrano,Finance,Payroll Manager,9,17,Elevated,10,None
2024-01-02 10:16:00,EMP-0148,Inventory_DB,Query,62836,Alyssa White,Ground Operations,Hub Manager,6,18,Standard,10,None
2024-01-02 10:29:00,EMP-0070,Routing_Portal,View,31898,Anthony Roberts,IT,System Admin,9,17,Elevated,10,None
2024-01-02 10:32:00,EMP-0051,HR_Portal,View,42176,Amy Jenkins,IT,System Admin,9,17,Elevated,10,None
2024-01-02 10:47:00,EMP-0143,Inventory_DB,View,70565,Ricky Mcdonald,Finance,Payroll Manager,9,17,Elevated,10,None
2024-01-02 10:57:00,EMP-0126,Financial_Ledger,Download,5136974,Danielle Griffin,Finance,Financial Analyst,9,17,Elevated,10,None
2024-01-02 11:07:00,EMP-0019,Routing_Portal,Download,10665574,Sergio Vazquez,Warehouse,Forklift Operator,8,20,Standard,11,None
2024-01-02 11:20:00,EMP-0043,Routing_Portal,Query,64415,Matthew Pierce,IT,System Admin,9,17,Elevated,11,None
2024-01-02 11:28:00,EMP-0007,Financial_Ledger,View,25538,Mark Powell,Finance,Financial Analyst,9,17,Elevated,11,None
2024-01-02 11:38:00,EMP-0002,HR_Portal,View,82135,Julie Alvarado,IT,System Admin,9,17,Elevated,11,None
2024-01-02 11:53:00,EMP-0071,Financial_Ledger,Download,9421450,Victoria Phillips,Finance,Financial Analyst,9,17,Elevated,11,None
2024-01-02 12:01:00,EMP-0088,Financial_Ledger,Query,22292,Aaron Martinez,Finance,Financial Analyst,9,17,Elevated,12,None
2024-01-02 12:04:00,EMP-0091,Inventory_DB,Download,8351699,Wesley Chandler,Ground Operations,Dispatcher,6,18,Standard,12,None
2024-01-02 12:08:00,EMP-0041,HR_Portal,Query,50829,Jacob West,Ground Operations,Dispatcher,6,18,Standard,12,None
2024-01-02 12:16:00,EMP-0141,Customer_CRM,View,41778,Katherine Owen,IT,Helpdesk,9,17,Elevated,12,None
2024-01-02 12:25:00,EMP-0090,Inventory_DB,Query,34573,Rebecca Acosta,IT,Helpdesk,9,17,Elevated,12,None
2024-01-02 12:27:00,EMP-0111,Financial_Ledger,Query,52209,Justin Serrano,Finance,Payroll Manager,9,17,Elevated,12,None
2024-01-02 12:31:00,EMP-0058,Routing_Portal,Query,33906,David Robinson,Warehouse,Forklift Operator,8,20,Standard,12,None
2024-01-02 12:34:00,EMP-0085,HR_Portal,Query,55070,Michael Davis,Finance,Financial Analyst,9,17,Elevated,12,None
2024-01-02 12:42:00,EMP-0121,Customer_CRM,Export,18245738,Melissa Flores,IT,Helpdesk,9,17,Elevated,12,None
2024-01-02 12:45:00,EMP-0024,Routing_Portal,View,57178,Brenda White,Ground Operations,Driver,6,18,Standard,12,None
2024-01-02 12:48:00,EMP-0010,Routing_Portal,View,28390,Sonya Foster,Warehouse,Forklift Operator,8,20,Standard,12,None
2024-01-02 12:56:00,EMP-0028,Inventory_DB,View,68047,Joshua Norris,Warehouse,Forklift Operator,8,20,Standard,12,None
2024-01-02 13:02:00,EMP-0121,Customer_CRM,View,53235,Melissa Flores,IT,Helpdesk,9,17,Elevated,13,None
2024-01-02 13:07:00,EMP-0127,Inventory_DB,Download,19165146,Christine Garcia,IT,System Admin,9,17,Elevated,13,None
2024-01-02 13:18:00,EMP-0067,Inventory_DB,View,69514,Brian Williams,Ground Operations,Dispatcher,6,18,Standard,13,None
2024-01-02 13:28:00,EMP-0137,Inventory_DB,Query,42235,Robert Thompson,Ground Operations,Driver,6,18,Standard,13,None
2024-01-02 13:33:00,EMP-0070,Routing_Portal,Download,18916580,Anthony Roberts,IT,System Admin,9,17,Elevated,13,Volume Anomaly (Slow Leak)
2024-01-02 13:40:00,EMP-0075,Inventory_DB,Query,35820,Andrew Torres,Warehouse,Forklift Operator,8,20,Standard,13,Volume Anomaly (Slow Leak)
2024-01-02 13:44:00,EMP-0005,Inventory_DB,Query,61736,Corey Davis,Warehouse,Forklift Operator,8,20,Standard,13,Volume Anomaly (Slow Leak)
2024-01-02 13:50:00,EMP-0008,Inventory_DB,Export,6893260,Jeffrey Torres,Warehouse,Inventory Specialist,8,20,Standard,13,Volume Anomaly (Slow Leak)
2024-01-02 14:04:00,EMP-0062,Financial_Ledger,Download,18387675,Andrew Lopez,Finance,Payroll Manager,9,17,Elevated,14,Volume Anomaly (Slow Leak)
2024-01-02 14:13:00,EMP-0085,Customer_CRM,View,50522,Michael Davis,Finance,Financial Analyst,9,17,Elevated,14,None
2024-01-02 14:21:00,EMP-0122,Routing_Portal,Download,6608581,Elizabeth Mitchell,Warehouse,Forklift Operator,8,20,Standard,14,None
2024-01-02 14:30:00,EMP-0141,Financial_Ledger,Query,56679,Katherine Owen,IT,Helpdesk,9,17,Elevated,14,None
2024-01-02 14:36:00,EMP-0117,HR_Portal,Download,12337647,David Tanner,Warehouse,Forklift Operator,8,20,Standard,14,None
2024-01-02 14:44:00,EMP-0071,Customer_CRM,View,92354,Victoria Phillips,Finance,Financial Analyst,9,17,Elevated,14,None
2024-01-02 14:51:00,EMP-0030,Customer_CRM,View,53950,Ann Pineda,IT,Helpdesk,9,17,Elevated,14,None
2024-01-02 14:56:00,EMP-0031,Routing_Portal,Query,96059,Dan Rodriguez,IT,System Admin,9,17,Elevated,14,None
2024-01-02 15:09:00,EMP-0128,Customer_CRM,View,64580,Michael Salas,Finance,Payroll Manager,9,17,Elevated,15,None
2024-01-02 15:16:00,EMP-0076,Routing_Portal,View,32738,Julie Gonzalez,Warehouse,Forklift Operator,8,20,Standard,15,None
2024-01-02 15:26:00,EMP-0093,Routing_Portal,Query,56112,Kelli Freeman,Ground Operations,Driver,6,18,Standard,15,None
2024-01-02 15:37:00,EMP-0071,Financial_Ledger,View,54863,Victoria Phillips,Finance,Financial Analyst,9,17,Elevated,15,None
2024-01-02 15:49:00,EMP-0002,Inventory_DB,Query,67283,Julie Alvarado,IT,System Admin,9,17,Elevated,15,None
2024-01-02 16:01:00,EMP-0059,Routing_Portal,Download,7195342,Anne Hall,IT,System Admin,9,17,Elevated,16,None
2024-01-02 16:13:00,EMP-0010,Routing_Portal,View,44962,Sonya Foster,Warehouse,Forklift Operator,8,20,Standard,16,None
2024-01-02 16:19:00,EMP-0061,Inventory_DB,View,38437,Mary Mccullough,Ground Operations,Dispatcher,6,18,Standard,16,None
2024-01-02 16:31:00,EMP-0031,Financial_Ledger,View,54739,Dan Rodriguez,IT,System Admin,9,17,Elevated,16,None
2024-01-02 16:44:00,EMP-0079,Financial_Ledger,Download,16003902,Cheryl Waters,Finance,Payroll Manager,9,17,Elevated,16,None
2024-01-02 16:56:00,EMP-0128,Financial_Ledger,Query,56556,Michael Salas,Finance,Payroll Manager,9,17,Elevated,16,None
2024-01-02 17:11:00,EMP-0134,Inventory_DB,View,63489,Anthony Diaz,Ground Operations,Driver,6,18,Standard,17,None
2024-01-02 17:16:00,EMP-0119,HR_Portal,Query,46518,Scott Flores,IT,System Admin,9,17,Elevated,17,None
2024-01-02 17:41:00,EMP-0087,Inventory_DB,View,65602,Travis Williams,Ground Operations,Hub Manager,6,18,Standard,17,None
2024-01-02 17:50:00,EMP-0038,Inventory_DB,View,42334,Michael Shannon,IT,System Admin,9,17,Elevated,17,None
2024-01-02 17:55:00,EMP-0068,Customer_CRM,Query,41813,Michelle Holder,Finance,Financial Analyst,9,17,Elevated,17,None
2024-01-02 18:19:00,EMP-0132,Inventory_DB,Query,56870,Christine Jacobson,Warehouse,Inventory Specialist,8,20,Standard,18,None
2024-01-02 18:43:00,EMP-0097,Inventory_DB,View,53925,Lisa Taylor,Warehouse,Inventory Specialist,8,20,Standard,18,None
2024-01-02 18:52:00,EMP-0115,Inventory_DB,Query,30344,Angela King,Ground Operations,Dispatcher,6,18,Standard,18,None
2024-01-02 19:05:00,EMP-0065,Routing_Portal,View,94631,Felicia Galvan,Warehouse,Inventory Specialist,8,20,Standard,19,None
2024-01-02 19:29:00,EMP-0028,Routing_Portal,View,30572,Joshua Norris,Warehouse,Forklift Operator,8,20,Standard,19,None
2024-01-02 19:39:00,EMP-0104,Routing_Portal,Query,19553,Katrina Rubio,Warehouse,Inventory Specialist,8,20,Standard,19,None
2024-01-02 20:10:00,EMP-0104,Inventory_DB,Query,72674,Katrina Rubio,Warehouse,Inventory Specialist,8,20,Standard,20,None
2024-01-02 22:45:00,EMP-0063,Customer_CRM,Query,60563,Michelle Sellers,Finance,Payroll Manager,9,17,Elevated,22,None
2024-01-03 05:14:00,EMP-0068,Customer_CRM,Query,57869,Michelle Holder,Finance,Financial Analyst,9,17,Elevated,5,None
2024-01-03 06:03:00,EMP-0020,Routing_Portal,Download,11847466,Abigail Miller,Ground Operations,Driver,6,18,Standard,6,None
2024-01-03 06:44:00,EMP-0027,HR_Portal,View,22034,Stacey Morgan,Ground Operations,Driver,6,18,Standard,6,None
2024-01-03 07:41:00,EMP-0094,HR_Portal,View,45613,Jennifer Trevino,Ground Operations,Dispatcher,6,18,Standard,7,None
2024-01-03 08:04:00,EMP-0087,Inventory_DB,View,49086,Travis Williams,Ground Operations,Hub Manager,6,18,Standard,8,None
2024-01-03 08:19:00,EMP-0075,Inventory_DB,View,50248,Andrew Torres,Warehouse,Forklift Operator,8,20,Standard,8,None
2024-01-03 08:24:00,EMP-0024,Routing_Portal,View,51872,Brenda White,Ground Operations,Driver,6,18,Standard,8,None
2024-01-03 09:03:00,EMP-0014,Routing_Portal,Query,74816,Alexandra Elliott,IT,Helpdesk,9,17,Elevated,9,None
2024-01-03 09:06:00,EMP-0084,Financial_Ledger,Query,28046,Veronica Horn,IT,Helpdesk,9,17,Elevated,9,None
2024-01-03 09:13:00,EMP-0127,Customer_CRM,Query,11839,Christine Garcia,IT,System Admin,9,17,Elevated,9,None
2024-01-03 09:28:00,EMP-0007,HR_Portal,View,42397,Mark Powell,Finance,Financial Analyst,9,17,Elevated,9,None
2024-01-03 09:42:00,EMP-0011,Financial_Ledger,View,16678,Jay Sullivan,Finance,Financial Analyst,9,17,Elevated,9,None
2024-01-03 09:50:00,EMP-0085,Financial_Ledger,Query,4739,Michael Davis,Finance,Financial Analyst,9,17,Elevated,9,None
2024-01-03 10:03:00,EMP-0005,Inventory_DB,View,80451,Corey Davis,Warehouse,Forklift Operator,8,20,Standard,10,None
2024-01-03 10:07:00,EMP-0054,Routing_Portal,View,53560,Michael Adams,Warehouse,Inventory Specialist,8,20,Standard,10,None
2024-01-03 10:18:00,EMP-0096,Routing_Portal,Query,37463,Michael Mitchell,Ground Operations,Dispatcher,6,18,Standard,10,None
2024-01-03 10:32:00,EMP-0125,Routing_Portal,Download,13044555,Jeffrey Clay,Warehouse,Forklift Operator,8,20,Standard,10,None
2024-01-03 10:46:00,EMP-0120,Routing_Portal,View,84869,Lauren Bell,Warehouse,Forklift Operator,8,20,Standard,10,None
2024-01-03 10:48:00,EMP-0039,Inventory_DB,Query,72600,Anthony Robinson,Warehouse,Inventory Specialist,8,20,Standard,10,None
2024-01-03 11:01:00,EMP-0120,Routing_Portal,Download,19488981,Lauren Bell,Warehouse,Forklift Operator,8,20,Standard,11,None
2024-01-03 11:07:00,EMP-0148,Routing_Portal,View,56617,Alyssa White,Ground Operations,Hub Manager,6,18,Standard,11,None
2024-01-03 11:15:00,EMP-0117,Inventory_DB,Query,28739,David Tanner,Warehouse,Forklift Operator,8,20,Standard,11,None
2024-01-03 11:20:00,EMP-0039,Routing_Portal,Query,47492,Anthony Robinson,Warehouse,Inventory Specialist,8,20,Standard,11,None
2024-01-03 11:30:00,EMP-0082,Inventory_DB,Query,31088,Maria Fleming,Ground Operations,Driver,6,18,Standard,11,None
2024-01-03 11:37:00,EMP-0079,Financial_Ledger,View,90590,Cheryl Waters,Finance,Payroll Manager,9,17,Elevated,11,None
2024-01-03 11:43:00,EMP-0069,Financial_Ledger,Query,29072,Wendy Powell,Finance,Financial Analyst,9,17,Elevated,11,None
2024-01-03 11:51:00,EMP-0086,Financial_Ledger,View,23870,Jacqueline Dickerson,IT,System Admin,9,17,Elevated,11,None
2024-01-03 12:01:00,EMP-0011,Financial_Ledger,Download,6835380,Jay Sullivan,Finance,Financial Analyst,9,17,Elevated,12,None
2024-01-03 12:03:00,EMP-0049,Inventory_DB,View,66042,Michael Tapia,Warehouse,Forklift Operator,8,20,Standard,12,None
2024-01-03 12:09:00,EMP-0016,Inventory_DB,Query,16649,Chris Cohen,Ground Operations,Hub Manager,6,18,Standard,12,None
2024-01-03 12:14:00,EMP-0045,Financial_Ledger,View,62177,Morgan Allen,Finance,Payroll Manager,9,17,Elevated,12,None
2024-01-03 12:29:00,EMP-0137,Routing_Portal,Query,55729,Robert Thompson,Ground Operations,Driver,6,18,Standard,12,None
2024-01-03 12:40:00,EMP-0100,Inventory_DB,Query,45884,Anne Weaver,Ground Operations,Dispatcher,6,18,Standard,12,None
2024-01-03 12:53:00,EMP-0121,Financial_Ledger,View,99879,Melissa Flores,IT,Helpdesk,9,17,Elevated,12,None
2024-01-03 13:06:00,EMP-0055,Inventory_DB,View,39054,Melissa Davila,Ground Operations,Hub Manager,6,18,Standard,13,None
2024-01-03 13:14:00,EMP-0100,Routing_Portal,View,59934,Anne Weaver,Ground Operations,Dispatcher,6,18,Standard,13,None
2024-01-03 13:26:00,EMP-0027,Inventory_DB,Query,25287,Stacey Morgan,Ground Operations,Driver,6,18,Standard,13,None
2024-01-03 13:33:00,EMP-0086,Customer_CRM,View,34031,Jacqueline Dickerson,IT,System Admin,9,17,Elevated,13,None
2024-01-03 13:43:00,EMP-0122,Inventory_DB,View,65082,Elizabeth Mitchell,Warehouse,Forklift Operator,8,20,Standard,13,None
2024-01-03 13:54:00,EMP-0073,Financial_Ledger,View,34559,Brittany Castaneda,Finance,Payroll Manager,9,17,Elevated,13,None
2024-01-03 13:57:00,EMP-0029,Inventory_DB,Query,49311,Anthony Ramirez,Ground Operations,Dispatcher,6,18,Standard,13,None
2024-01-03 14:08:00,EMP-0117,Inventory_DB,View,63768,David Tanner,Warehouse,Forklift Operator,8,20,Standard,14,None
2024-01-03 14:21:00,EMP-0042,Financial_Ledger,View,51630,Megan Mcdaniel,Finance,Payroll Manager,9,17,Elevated,14,None
2024-01-03 14:23:00,EMP-0028,Inventory_DB,View,41696,Joshua Norris,Warehouse,Forklift Operator,8,20,Standard,14,None
2024-01-03 14:31:00,EMP-0013,Inventory_DB,View,51073,Haley Johnson,Warehouse,Inventory Specialist,8,20,Standard,14,None
2024-01-03 14:48:00,EMP-0009,Customer_CRM,Query,7697,Rodney Frazier,IT,Helpdesk,9,17,Elevated,14,None
2024-01-03 15:00:00,EMP-0140,Routing_Portal,View,44409,Michael Williams,Warehouse,Forklift Operator,8,20,Standard,15,None
2024-01-03 15:14:00,EMP-0097,Customer_CRM,Query,71254,Lisa Taylor,Warehouse,Inventory Specialist,8,20,Standard,15,None
2024-01-03 15:42:00,EMP-0100,Inventory_DB,Query,85040,Anne Weaver,Ground Operations,Dispatcher,6,18,Standard,15,None
2024-01-03 15:48:00,EMP-0136,Inventory_DB,Query,63910,Melissa Webb,Ground Operations,Dispatcher,6,18,Standard,15,None
2024-01-03 16:03:00,EMP-0008,Inventory_DB,View,53073,Jeffrey Torres,Warehouse,Inventory Specialist,8,20,Standard,16,None
2024-01-03 16:16:00,EMP-0069,Customer_CRM,View,53352,Wendy Powell,Finance,Financial Analyst,9,17,Elevated,16,None
